=== libpredict example application ===
Time:                     2024-07-05 15:56:09.851Z
Observer Position:        +51.2365°N, -0.5788°E, +0m
== Celestial Bodies ==
Current Sun Observation:  AZ:  259.248°, EL:   37.810°
          RF refraction:  dEL:   +0.013° (visible)
== Spacecraft ==
Parsing ISS TLE..         OK (Epoch: 2024.181.34)
Calculating ISS orbit..   OK
Current ISS Observation:  AZ:  341.049°, EL:  -42.554°
          RF refraction:  dEL:   +0.000° (not visible)
IM Chip ID: 0xa0 (correct = a0)
OPR Mode: 0x04
Next ISS AoS Azimuth:     176.567° at 2024-07-05 21:44:54.135Z
+0348,-0276,358.5
      Max Elevation:        6.754° at 2024-07-05 21:48:32.255Z
         LoS Azimuth:      86.982° at 2024-07-05 21:52:24.429Z
+0048,+0005,85.5
+0042,+0000,85.5
+0066,+0005,85.4
+0054,+0023,83.9
+0048,+0011,83.9
+0060,+0029,83.1
+0066,+0029,82.5
+0054,+0011,82.5
+0066,+0011,81.8
+0066,+0011,80.9
+0072,+0005,80.9
+0108,+0011,79.9
+0084,+0023,79.4
+0096,+0023,79.3
+0090,+0005,77.8
+0090,+0011,77.8
+0102,+0011,76.5
+0102,+0011,76.2
+0114,+0000,76.2
+0114,+0000,75.3
+0138,+0000,74.8
+0126,+0011,74.8
+0108,+0000,74.0
+0114,+0005,73.2
+0102,+0000,73.2
+0090,+0000,72.1
+0120,+0000,71.7
+0126,+0011,71.7
+0126,-0006,70.7
+0120,-0006,70.3
+0102,-0006,70.3
+0126,-0012,70.1
+0114,-0012,68.7
+0150,-0006,68.7
+0156,-0006,68.0
+0120,-0012,67.1
+0132,-0012,67.1
+0114,-0024,66.2
+0162,-0018,65.6
+0162,-0024,65.6
+0150,-0024,64.9
+0174,-0018,64.1
+0144,-0018,64.1
+0180,-0018,63.3
+0156,-0024,62.5
+0144,-0036,62.6
+0186,-0036,61.5
+0168,-0030,61.0
